id,text,message_contact_person_asking,message_contact_person_org,message_org
0,"Hello,We believe an unauthorized third party may have been able may have beenable to view some of your account details, including your contactinformation. Your encrypted password was protected so your actual passwordwas not visible. Payment card information was not affected by this issueeither.To protect the security of your account, we are resetting your password andhave logged you out of your account. To log back in, you just need to set anew password through the link below:https://support.microsoft.com/en-us/account-billing/reset-a-forgotten-microsoft-account-password-eff4f067-5042-c1a3-fe72-b04d60556c37Please do not use a password that you already use for other online ormobile services. We suggest using a unique password for each online ormobile account you have. For tips on password integrity, go herehttps://www.connectsafely.org/passwords/.",1,0,1
1,"what is the band making all that racket outside my office and why?Shirley S. ElliottCitibank, N.A. - Global Energy & MiningTwo Allen Center1200 Smith Street, Suite 2000Houston, Texas 77002Tel:  (713) 654-2868Fax:  (713) 654-2849",1,1,0
2,"Yeah, I'd be up for a couple cocktails . . . give me a call on my cell andleave me a message where y'all will be . . .Regards,Kevin A. BooneAccenture--Houston(Octel) 713.837.1638(Client) 281.848.1619(C) 713.306.7940(H) 713.864.4149Kevin.A.Boone@accenture.comOur web address is http://www.accenture.com                    Matthew.Lenhart                    @enron.com             To:     Kevin A. Boone@Accenture                                           cc:     Bryan.Hull@enron.com, Matthew.Lenhart@enron.com                    04/27/2001             Subject:     Re: bs                    10:09 AMwe might go get some food and spirits after work if you are interested.  iam going to butt-fuck mississippi for val's wedding.  i will be in town therest of the month so i am ready to start tearing up houston again.  let meknow if you are up for drinks after work.",1,1,0
3,"So buddy...what is up? WI am just getting ready to leave work and head home toDenver tomorrow morning for the week. My oldest bro had a baby last week and myother bro got engaged and there is a huge party for them tomorrow. i am superexcited because it fall on the long weekend. I will be skiing in Steambost thisweekend . However Tahoe has been getting dumped on. I am too broke to even goskiing out here....the gas bill is Killing me. (tee hee) Actually, we do noteven turn on our heat because our place is very hard to keep warm...the hardwood floors and the tall ceilings. As for SF.. everything is great. i love itbut I need to get a better paying job because I am broke. Oh well, I need to doit while I am young and fins some rich guy. (just kidding) Anyway, How are youdoing? Any ladies strikin your fancy this valentine's day?------------ Previous Message from  Matthew.Lenhart@enron.com  on  01/31/200102:40:44 PM ----------To:   Anne Leuthold/Techtvcorp@Techtvcorpcc:Subject:  Re: Hidid you go and sign up on that website?  there are a lot of people from ourclass on there.  what is going on?  how is san francisco?  can you pay yourgas bill.  i trade energy in that area.  how is the nightlife?  are youdating at all?  life here is hectic.  i have just been working and goingout.  when are you going home again?  i don't know when i will get backthere, but i wish i was going back to ski.  shoot me an email when you geta chance.",1,0,0
4,"Any of y'all interested in PF Chang's one night this week?Regards,Kevin A. BooneAccenture--Houston(Octel) 713.837.1638(Client) 281.848.1619(C) 713.306.7940(H) 713.864.4149Kevin.A.Boone@accenture.comOur web address is http://www.accenture.com",1,1,0
5,"---------------------- Forwarded by Kristann Shireman/HOU/EES on 05/08/2001 10:11 AM ---------------------------Kristann Shireman05/08/2001 08:48 AMTo: Frank Ermis/HOU/ECT@ECT, Keith Holst/HOU/ECT@ectcc:  Subject: Purchase Malin and Socal TopockPlease provide me with your Physical offer for the following volumes:The volumes are in monthly volumes.ThanksKris ShiremanMALIN06/2001:  44,99707/2001:  41,83808/2001:   46,07009/2001:    39,85910/2001:    37,28311/2001:    28,03812/2001:    31,43101/2002:    23,64302/2002:    21,22803/2002:     10,54604/2002:     15,85105/2002:     23,52806/2002:     33,97807/2002:     32,61108/2002;     34,33209/2002:     30,09310/2002:     28,21411/2002:     23,51812/2002:     23,03001/2003:     17,96302/2003:     17,82003/2003:      16,65104/2003:      15,64005/2003:      23,21206/2003:      33,52007/2003:      32,11708/2003:      33,87809/2003:      29,68110/2003:      27,86911/2003:      23,15512/2003:      22,72101/2004:      17,72102/2004:      16,97303/2004:      16,43004/2004:      15,41905/2004:       22,89606/2004:      33,057 07/2004:      31,62808/2004:      33,43109/2004:      29,27310/2004:      27,49111/2004:      22,84312/2004;      22,42301/2005:      17,48202/2005;      16,74803/2005:      16,21104/2005:      15,20005/2005:      22,58506/2005:      32,600",1,0,0
6," Matt I am passing on these penalties for non-performance Friday for thefirm volumes that did not flow.  The firm sales amount of which you did notperform was  5000 mmbtu at $6.90.  Gas daily reported that the weekendtraded as low as $3.70.  Therefore, we are assessing liquidated damages inthe amount of US$16,000, the amount of which Lisa Feisst will invoice.  Iwould like to ensure that this problem does not happen again. Wildgoose isnot the swing market, and all transactions completed on your screen are firmas are all transactions, unless otherwise specified, with Wildgoose andAlberta Energy Company.  We, at Alberta Energy Company consider this aserious matter, not the dollar figure associated but the implications in theCalifornia market place and are treating it as such.  Our companies have hada longstanding relationship and we would like rectify this problem so we canregain trading together in the future.  A letter outlining the above will besent to yourself  and John Lavorado for your records. Thanks",1,1,1
7,"Dear Clients,Due to unpredictable hardware failure, last night's migrations to Outlook had to be postponed. You ability to use email via your Lotus Notes client remains 100% available at this time. The Outlook Migration Team will contact you to inform you of your re-scheduled date of migration. We apologize for the inconvenience this has caused you and thank you for your patience and understanding.Please feel free to contact me if you have any questions or concerns.Sincerely,EmmanuelEmmanuel Mangin Outlook Migration Team Lead Emmanuel.Mangin@Enron.com Work:? 713-345-9357 Pager: 713-415-5091",1,1,0
8,"Whatup ladies . . . anything good happen thurs nite or last weekend?  Hull,you still up for takin Mitchell out this weekend for his bday . . . Mattlet me know if you get the itch and can't hold off drinkin until you get toVegas . . . word upRegards,Kevin A. BooneAccenture--Houston(Octel) 713.837.1638(Client) 281.848.1619(C) 713.306.7940(H) 713.864.4149Kevin.A.Boone@accenture.comOur web address is http://www.accenture.com",1,1,0
9,"Can you guys coordinate to make sure someone listens to this conference call each week.  Tara from the fundamental group was recording these calls when they happened every day.Phillip---------------------- Forwarded by Phillip K Allen/HOU/ECT on 05/07/2001 07:26 AM ---------------------------James D Steffes@ENRON05/03/2001 05:44 AMTo: Phillip K Allen/HOU/ECT@ECTcc:  Subject: Re: Western Wholesale Activities - Gas & Power Conf. CallPrivileged & Confidential CommunicationAttorney-Client Communication and Attorney Work Product Privileges AssertedPlease forward to anyone on your team that wants updates on Western wholesale matters (should also give you an opportunity to raise state matters if you want to discuss).Jim---------------------- Forwarded by James D Steffes/NA/Enron on 05/03/2001 07:42 AM ---------------------------Ray Alvarez05/02/2001 05:40 PMTo: Steve Walton/HOU/ECT@ECT, Susan J Mara/NA/Enron@ENRON, Alan Comnes/PDX/ECT@ECT, Leslie Lawner/NA/Enron@Enron, Rebecca W Cantrell/HOU/ECT@ECT, Donna Fulton/Corp/Enron@ENRON, Jeff Dasovich/NA/Enron@Enron, Christi L Nicolay/HOU/ECT@ECT, James D Steffes/NA/Enron@Enron, jalexander@gibbs-bruns.com, Phillip K Allen/HOU/ECT@ECTcc: Linda J Noske/HOU/ECT@ECT Subject: Re: Western Wholesale Activities - Gas & Power Conf. CallPrivileged & Confidential CommunicationAttorney-Client Communication and Attorney Work Product Privileges AssertedDate:   Every ThursdayTime:    1:00 pm Pacific, 3:00 pm Central, and 4:00 pm Eastern time, Number:   1-888-271-0949,  Host Code:  661877, (for Jim only), Participant Code: 936022, (for everyone else),Attached is the table of the on-going FERC issues and proceedings updated for use on tomorrow's conference call.  It is available to all team members on the O drive. Please feel free to revise/add to/ update this table as appropriate.Proposed agenda for tomorrow:Power-  Discussion of FERC market monitoring and mitigation order in EL00-95-12 and review of upcoming filingsGas- Response to subpoenas of SoCal Edison in RP00-241 and upcoming itemsMisc.I will be unable to participate in the call tomorrow as I will be attending the Senate Energy and Resource Committee Hearing on the elements of the FERC market monitoring and mitigation order.",1,0,0
