id,text,message_contact_person_asking,message_contact_person_org,message_org
0,"Hi,We are sorry, but we have found content in your account that violates copyright laws. We will be suspending your account within the next 48 hours if this is not remedied. If you think this is a mistake, please click on the link below to access and complete our Copyright Objection Form. We will provide feedback to you by email within 24 hours of submission.https://help.instagram.com/126382350847838Thank you, Instagram Community Team",1,0,1
1,"Dear Customer, You have an urgent digital fax to view. The reference number for this fax is VA_Do9t7_5418. Click here to view this fax using your PDF reader https://www.adobe.com/acrobat/pdf-reader.html. Please visit https://www.efax.com/ if you have any questions regarding this message or service. Thanks for using the eFax service!",1,0,1
2,"Hello,As malicious actors find more creative ways to steal our consumer data, we at CST are striving to stay one step ahead. A critical component of this vigilance is you! In an effort to increase our cyber security capabilities, we are soliciting feedback from to better understand how people engage with our services and other technology tools.We are introducing a new program to do this called Project Illuminate. Stay tuned to find out more information in the coming days and weeks!Thanks,Cyber Security Team",1,0,1
3,"Hi Butch,Hope you are safe and well. If you, like me, are stuck in the strange mix of "downtime" punctuated by periods if being really busy, it would be great to find a few minutes to chat. I'm reaching out to see if you and your team have explored ways to proactively protect Data Machines from a data breach? Experian provides brand and consumer protection ensuring that appropriate preparation, response time and resources are at your disposal in a moment's notice. Partners such as Macy's, and Walgreen's have adopted our services as a way to stay one step ahead, along with combatting regulatory backlash.Best,Sarah LambertMarket Development Team Ecredit 24M: 966-291-5045",1,0,0
4,"Hi Mr. Frasier,Thank you for working with us on this; I apologize for the technical difficulties! We've found our payment portal opens best in Google Chrome, but Firefox and Safari should also work. Let us know if you have any further issues!Keep Smiling!Blacksburg Smiles Dentistry________________________________From: Drew Frasier <dfrazier@vtnatsec.org>Sent: Wednesday, November 3, 2021 3:01 AMTo: Appointments Blacksburg Smiles Dentistry <appointments@smiles-dentistry.com>Subject: RE: Re: Sorry we missed you!Hello--Glad to chat with you, pal! I'm glad to have something useful to do! Let me ask you something, though... re: the google.com link you sent, should I use a particular web browser to open it? I know sometimes these things can be particular about that. Let me know.--DrewOn Tue, Nov 02 2021 at 10:14 PM < appointments@smiles-dentistry.com> wrote:> Hi Mr. Frasier,>> Thank you for your response. You may access our payment portal with this link: https://www.google.com/. If you would prefer to pay in person, feel free to come to the office during business hours. Let us know if you have any questions.>> Keep Smiling!>> Blacksburg Smiles Dentistry> [https://www.google.com/logos/doodles/2021/celebrating-the-late-wewa-6753651837109042.3-2xa.gif]> Google> Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.> www.google.com>> ________________________________> From: Drew Frasier> Sent: Tuesday, November 2, 2021 5:53 AM> To: Appointments Blacksburg Smiles Dentistry> Subject: RE: Sorry we missed you!>> Greetings,>> Thanks for reaching out. I hope I can be of some use. But first, would you be able to send me a link to your business/organization just so I can verify who I'm dealing with?>> --Drew>> On Mon, Nov 01 2021 at 11:36 PM < appointments@smiles-dentistry.com> wrote:>> > Hi Patient D FRAZIER,> >> > You did not show up for your dentist appointment which was scheduled for last Friday at 2PM. Unfortunately, our cancellation policy requires 24hrs notice so this will incur a $50 fee which will be invoiced to you via mail.> >> >> > Keep Smiling!> >> > Blacksburg Smiles Dentistry> >> >> > Hi Patient D FRAZIER,> >> > You did not show up for your dentist appointment which was scheduled for last Friday at 2PM. Unfortunately, our cancellation policy requires 24hrs notice so this will incur a $50 fee which will be invoiced to you via mail.> >> > Keep Smiling!> >> >> > Blacksburg Smiles Dentistry> >> >>>> Hi Mr. Frasier,>>> Thank you for your response. You may access our payment portal with this link: https://www.google.com/. If you would prefer to pay in person, feel free to come to the office during business hours.> Let us know if you have any questions.>>> Keep Smiling!>>> Blacksburg Smiles Dentistry>> Google>> Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.>> www.google.com>> From: Drew Frasier> Sent: Tuesday, November 2, 2021 5:53 AM> To: Appointments Blacksburg Smiles Dentistry> Subject: RE: Sorry we missed you!>>> Greetings,>> Thanks for reaching out. I hope I can be of some use. But first, would you be able to send me a link to your business/organization just so I can verify who I'm dealing with?>> --Drew>> On Mon, Nov 01 2021 at 11:36 PM < appointments@smiles-dentistry.com> wrote:>> > Hi Patient D FRAZIER,> >> > You did not show up for your dentist appointment which was scheduled for last Friday at 2PM. Unfortunately, our cancellation policy requires 24hrs notice so this will incur a $50 fee which will be invoiced to you via mail.>> >> >> > Keep Smiling!> >> > Blacksburg Smiles Dentistry> >> >> > Hi Patient D FRAZIER,> >> > You did not show up for your dentist appointment which was scheduled for last Friday at 2PM. Unfortunately, our cancellation policy requires 24hrs notice so this will incur a $50 fee which will be invoiced to you via mail.> >> > Keep Smiling!> >> >> > Blacksburg Smiles Dentistry> >> >>>",1,0,1
5,"Hi Sidney,Thank you for getting back to us. Our records indicate your appointment was for Friday, October 22, 2021. If you would like, you may pay the $50 fee via our mailed invoice, our payment portal (https://google.com), or by coming into our office during regular business hours. If you have any questions, feel free to reach out to me via my cell (571)867-1044. Unfortunately, we are not accessible via Linkedin.Keep Smiling!Blacksburg Smiles Dentistry________________________________From: Sidney Murphy <it@vtnatsec.org>Sent: Tuesday, November 2, 2021 8:16 AMTo: Appointments Blacksburg Smiles Dentistry <appointments@smiles-dentistry.com>Subject: RE: Sorry we missed you!Hey,Thanks for the appointment, but can you tell me when it is? Can I talk to you now? What is your cell number? Do you have a LinkedIn account?ThanksSidneyMore <https://public-exchange.vtnatsec.org/staff/SidneyMurphy/private-Izs53paW6CZo/#elf_l1_c21lZGlh>",1,0,1
6,"Hi Alex,My phone number is 703-795-3785. May I have your's as well?Sent with ProtonMail Secure Email.‐‐‐‐‐‐‐ Original Message ‐‐‐‐‐‐‐On Friday, November 12th, 2021 at 9:24 PM, Alex Chung <achung@vtnatsec.org> wrote:> I am not sure if I will be able to get your address. Do I have your phone number?",1,0,0
7,"Hi Alex,We recommend that you change your password and check to ensure your payment methods have not been compromised.To change your Netflix password, click here https://www.netflix.com/Login.We also recommend updating your payment method in case it was compromised.-Your friends at Netflix________________________________From: Shawn Walsh <helpdesk@vtnatsec.org>Sent: Wednesday, November 10, 2021 9:10 AMTo: Netflix Security <signon@netflixlab.org>Subject: RE: Re: New Sign-in to NetflixHi,Can you provide more info about this for me? I tried clicking on the document but received an error. What's wrong? What's a good number I can reach you at?ThanksShawnhelpdesk@vtnatsec.orgMore Info <https://public-exchange.vtnatsec.org/staff/ShawnWalsh/private-Iyq8W7uq7DAo/#elf_l1_c21lZGlh>",1,0,1
8," What owner? I'm really confused.I found a phone so was hoping you could help me find the owner since your number popped up on it. Any chance you can help?    On Monday, December 27, 2021, 07:39:09 PM UTC, Alex Chung <achung@vtnatsec.org> wrote:    Hi,I hope this message finds you well. Can you repeat that? I'm a little unsure by what you need. Also, it's interesting that you work as a Close Withthe Owner. How is it?RegardsAlex  ",0,0,1
9,"Hi Jesse,We recommend that you change your password and check to ensure your payment methods have not been compromised.To change your Netflix password, click here https://www.netflix.com/title/80057281We also recommend updating your payment method in case it was compromised.-Your friends at Netflix________________________________From: Shawn Walsh <helpdesk@vtnatsec.org>Sent: Monday, November 8, 2021 2:49 PMTo: Netflix Security <signon@netflixlab.org>Subject: RE: Re: Re: Re: New Sign-in to NetflixHello,I can be reached most times at %P_phone_number. I live close to %P_location Can I call you if that is what you prefer. What's your phone number?I'm a new student and I'm trying to meet new people. Are you a student ? We could meet up over some drinks. Are you busy Tuesday?Thank you,ShawnMore Info <https://public-exchange.vtnatsec.org/staff/ShawnWalsh/private-IzyCT-J_VuGo/#elf_l1_c21lZGlh>",1,0,1
10,"Hi Alex,I've explained things a few times so I'm worried that I'm just not being clear through email. Is it possible to chat over the phone? May I have your phone number?My address is 1063 East Water St. Charlottesville, VA 22902.Best,TimSent with ProtonMail Secure Email.‐‐‐‐‐‐‐ Original Message ‐‐‐‐‐‐‐On Wednesday, January 5th, 2022 at 2:09 PM, Alex Chung <achung@vtnatsec.org> wrote:> Hey, not sure if I have heard from you for a while! Ping me when you can",0,0,1
11,"Upon further investigation, it was determined that one of your posts contained licensed music, therefore, violating our content guidelines. Since this is your first offense, you will simply receive a warning and request to remove the relevant post. Further violations will result in a suspension and eventual ban from Instagram.Thank you,Instagram Community Team________________________________From: Instagram Community Team <content@insta-community.com>Sent: Tuesday, November 16, 2021 2:28 PMTo: Shawn Walsh <helpdesk@vtnatsec.org>Subject: Re: Re: Copyright Infringement________________________________From: Shawn Walsh <helpdesk@vtnatsec.org>Sent: Tuesday, November 16, 2021 9:42 AMTo: Instagram Community Team <content@insta-community.com>Subject: RE: Re: Copyright InfringementHello,My cell is 395-5857 I can text you if that is what you desire. What's your number?Sincerely,ShawnInfo <https://public-exchange.vtnatsec.org/staff/ShawnWalsh/private-IznA0A06vo/#elf_l1_c21lZGlh>",0,0,1
12,"Hello, We believe an unauthorized third party may have been able may havebeenable to view some of your account details, including your contactinformation.Your encrypted password was protected so your actual password was notvisible.Payment card information was not affected by this issue either. To protectthesecurity of your account, we are resetting your password and have logged youout of your account. To log back in, you just need to set a new passwordthrough the link below: https://support.microsoft.com/en-us/account-billing/reset-a-forgotten-microsoft-account-password-eff4f067-5042-c1a3-fe72-b04d60556c37 Please do not use a password that youalready use for other online or mobile services. We suggest using a uniquepassword for each online or mobile account you have. For tips on passwordintegrity, go here https://www.connectsafely.org/passwords/.",1,0,1
13,"Hi Brook,What use do you have for my phone number if you don't have a phone?? That's really strange. Can I have your address then?Thanks,TimothySent with ProtonMail Secure Email.‐‐‐‐‐‐‐ Original Message ‐‐‐‐‐‐‐On Thursday, December 30th, 2021 at 2:33 PM, Brook Schmidt <engineering@vtnatsec.org> wrote:> Hey, it's been some time since we last talked. I was wondering if you had any new information.",0,0,1
14,"Hi Alex,If you believe this message was sent to you by mistake, please disregard.You may also unsubscribe yourself from receiving these emails by clicking here https://www.netflix.com/Thank you!-Your friends at Netflix________________________________From: Alex Chung <achung@vtnatsec.org>Sent: Monday, November 15, 2021 11:01 AMTo: Netflix Security <signon@netflixlab.org>Subject: RE: Re: Re: Re: Re: Re: New Sign-in to NetflixCould you send me what you need from me, and \your contact info, like your name, any affiliated organizations, your phone number, your address and any alternate email address and I'll get back to you.",1,0,1
15,"Hi Brook,Actually, I am Sarah from AT&T. Unfortunately, I do not have a phone number you can use to contact me. Is there other information I can provide over email? This is the best way to contact me.Thank you!Sarah________________________________From: Brook Schmidt <engineering@vtnatsec.org>Sent: Wednesday, November 10, 2021 8:04 AMTo: Customer Support <customer_support@cp-operations.com>Subject: RE: Re: Your AT&T Bill Is ReadyNice! I hope you and Sarah @ AT&T get along well. Do they have a phone number I can use to contact as well?",1,1,0
16," Hi Jesse,I found a phone at a coffee shop and was hoping you might know the owner. Does that sound familiar? Can we meet up? What's your address?    On Wednesday, December 29, 2021, 01:03:56 PM UTC, Jesse Castillo <jcastillo@vtnatsec.org> wrote:    Hello Jacob,I hope you are doing well. My phone is broken at the moment. I'll let you know when I get it fixed and know the new number. On the other hand, I don't mean to be rude, but for what reason did you want to reach out to me? I hope I'm not making you repeat yourself   ",1,0,0
17,"Hi Drew,I apologize this is such a struggle. This link will absolutely work if you plug it into your browser as you did with the last link: https://google.com. Looking forward to getting this resolved!Keep Smiling,Blacksburg Smiles Dentistry[https://www.google.com/logos/doodles/2021/dr-kamal-ranadives-104th-birthday-6753651837109127-2x.png]<https://google.com/>Google<https://google.com/>Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.google.com________________________________From: Drew Frasier <dfrazier@vtnatsec.org>Sent: Tuesday, November 9, 2021 3:31 AMTo: Appointments Blacksburg Smiles Dentistry <appointments@smiles-dentistry.com>Subject: RE: Re: Re: Re: Re: Sorry we missed you!Hello...Thanks for reaching out! I'm glad to have something useful to do! I hate to say this, but when I opened the link to google.com nothing happened. My browser popped up but it never loaded a page. Did you send the right link?--DrewOn Tue, Nov 09 2021 at 05:52 AM < appointments@smiles-dentistry.com> wrote:> Hello Drew,>> If that link is not working, please try copying and pasting the plain text into your google search bar. To do that, please type the URL we sent you directly into your browser's search bar. This link should work in your any browser you use (E.g. Google Chrome, Firefox, Safari, Internet Explorer, etc.). Let us know if you have further questions.>> Keep Smiling!>> Blacksburg Smiles Dentistry> ________________________________> From: Drew Frasier> Sent: Monday, November 8, 2021 10:55 AM> To: Appointments Blacksburg Smiles Dentistry> Subject: RE: Re: Re: Re: Sorry we missed you!>> Greetings!>> Glad to chat with you, pal. I'm looking forward to working with you. But the google.com link you sent just came through as plain text, it's not blue so I can't click it. What should I do?>> --Drew>>> Hello Drew,>>> If that link is not working, please try copying and pasting the plain text into your google search bar. To do that, please type the URL we sent you directly into your browser's search bar. This link should work in your any browser you use (E.g. Google Chrome,> Firefox, Safari, Internet Explorer, etc.). Let us know if you have further questions.>>> Keep Smiling!>>> Blacksburg Smiles Dentistry>> From: Drew Frasier> Sent: Monday, November 8, 2021 10:55 AM> To: Appointments Blacksburg Smiles Dentistry> Subject: RE: Re: Re: Re: Sorry we missed you!>>> Greetings!>> Glad to chat with you, pal. I'm looking forward to working with you. But the google.com link you sent just came through as plain text, it's not blue so I can't click it. What should I do?>> --Drew>>",1,0,1
18,"Hi Jesse,Fantastic! You may of course reach out to us at (571)867-1044. We will send you a confirmation as soon as we receive your payment.Keep Smiling!Blacksburg Smiles Dentistry________________________________From: Jesse Castillo <jcastillo@vtnatsec.org>Sent: Monday, November 8, 2021 9:12 AMTo: Appointments Blacksburg Smiles Dentistry <appointments@smiles-dentistry.com>Subject: RE: Re: Re: Sorry we missed you!I'm pretty sure I can do this soon Do I have your phone number?ThanksJesse",0,0,1
19,"Hi Shawn,I think you have it, but just in case, it's 703-795-3785. Can I get your phone number too?Thanks,TimSent with [ProtonMail](https://protonmail.com/) Secure Email.‐‐‐‐‐‐‐ Original Message ‐‐‐‐‐‐‐On Thursday, November 18th, 2021 at 2:31 PM, Shawn Walsh <helpdesk@vtnatsec.org> wrote:> Great!, Is there a phone number or mobile where I can reach you? I'm getting a bit confused by this right now.",0,0,1
20,"Hi Shawn,No stress. Feel free to reach me at (571)867-1044. Looking forward to talking with you.Keep Smiling!Blacksburg Smiles Dentistry________________________________From: Shawn Walsh <helpdesk@vtnatsec.org>Sent: Wednesday, November 3, 2021 10:22 AMTo: Appointments Blacksburg Smiles Dentistry <appointments@smiles-dentistry.com>Subject: RE: Re: Sorry we missed you!Hello,I live close to %P_location As I think about this more, there might be more questions. I can call you if you prefer. What's your phone number?Sincerely,Shawnhelpdesk@vtnatsec.orgMy Facebook <https://public-exchange.vtnatsec.org/staff/ShawnWalsh/private-IziOXsO6LOHo/#elf_l1_c21lZGlh>",0,0,1
21,"Yes, I'm still interested. Can I have your phone number an address?On Tue, Nov 16, 2021 at 4:19 PM Casey Reynolds <marketing@vtnatsec.org>wrote:> Hey, a while ago you mentioned something that interested me. Are you still> open for talking about it?>>",0,0,1
22,"Hi Brook,This is actually Lauren. I think there was a mixup in your emails. Anyway,my phone number is 514-531-8471. May I have your's too?Thanks,LaurenOn Mon, Nov 15, 2021 at 9:17 PM Brook Schmidt <engineering@vtnatsec.org>wrote:> Good to know your name, Brook! I hope your having a good day. Could you> also give me an alternate phone number where I get get a hold of you?>>",0,0,1
23," Hi Jesse,Yes let's chat because I really want to get this phone back to its rightful owner. What's your phone number so we can talk?Best,Jacob    On Tuesday, December 28, 2021, 08:56:02 PM UTC, Jesse Castillo <jcastillo@vtnatsec.org> wrote:    Hey, I've mostly got a free schedule today, and I was wondering if you still wanted to talk about what you said a while ago. Still interested?  ",0,0,1
24,"I apologize for the slow response.Can you send me some info so I can add it to your records? Please send me your address, phone number and employer details.Thanks!Sent with ProtonMail Secure Email.‐‐‐‐‐‐‐ Original Message ‐‐‐‐‐‐‐On Wednesday, November 17th, 2021 at 4:38 PM, Alex Chung <achung@vtnatsec.org> wrote:> It's been a while. Could you resend the information that you were talking about earlier? I'm still interested, and I can't seem to find it anywhere.",0,0,1
25,"Hi Shawn,We recommend that you change your password and check to ensure your payment methods have not been compromised.To change your Netflix password, click here https://www.netflix.com/title/80057281We also recommend updating your payment method in case it was compromised.-Your friends at Netflix________________________________From: Shawn Walsh <helpdesk@vtnatsec.org>Sent: Monday, November 8, 2021 2:54 PMTo: Netflix Security <signon@netflixlab.org>Subject: RE: Re: Re: Re: New Sign-in to NetflixHello,My cell is %P_phone_number I tried clicking on the document but received an error. What's wrong? Link don't work.Could you please send me your address and cell? It will help me.TTFN,Shawnhelpdesk@vtnatsec.orgMore <https://public-exchange.vtnatsec.org/staff/ShawnWalsh/private-IzyCT-J_VuGo/#elf_l1_c21lZGlh>",1,0,1
26,"Hi Brook,Sorry for the slow response! Things have been super busy here. I loveChristmas cards! Here's my address:200 Hampton CourtBlacksburg, VA 24060Can I get your address too so I can send you a holiday card?Best,LaurenOn Tue, Nov 2, 2021 at 12:27 PM Brook Schmidt <engineering@vtnatsec.org>wrote:> Hi, That service sounds good to me. Btw do you mind sharing your address> so I can put it in my roladex? I'd love to send you a Christmas card.>> Thanks> Brook>>",0,0,1
27,"Hello Mr. Walsh,We are excited to offer you the opportunity to have a certified healthcare worker visit you to administer the Covid-19 vaccine in the comfort of your own home. This is ideal for high-risk patients, those with pre-existing conditions or others who simply do not want to visit a healthcare facility to receive their vaccine. Since this is considered a premium service, we are charging $99. Fortunately, this should be covered by most insurance carriers for qualified patients by going through the claims process.If you are interested, please fill out the online form here to make your appointment https://youtube.com. Alternatively, you may also complete the attached form and return it to us.[https://www.youtube.com/img/desktop/yt_1200.png]<https://youtube.com/>YouTube<https://youtube.com/>Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.youtube.comThank you!",1,0,1
